TripID,Timestamp,Latitude,Longitude,Origin,Destination,Mode,Speed_kmh,Distance_m,Duration_s,DayOfWeek,Hour,AgeGroup,Gender,Weather
60,2025-07-20 19:20:57,31.984266,35.950808,Home,Station,bus,29.05,20988.2,2550,Sunday,19,35-44,M,hot
61,2025-09-13 17:05:45,31.940625,35.970527,University,Hospital,bus,45.4,29025.9,2328,Saturday,17,25-34,F,cloudy
62,2025-08-13 06:07:30,31.94943,35.940879,Airport,Mall,car,42.86,11951.2,998,Wednesday,6,45-54,F,sunny
63,2025-08-05 18:44:13,31.92181,35.956714,Airport,Home,car,22.04,16559.5,2669,Tuesday,18,25-34,M,sunny
64,2025-08-17 06:29:32,31.919114,35.941903,Airport,Hospital,bus,20.17,19227.4,3476,Sunday,6,18-24,M,sunny
65,2025-08-31 12:17:08,31.979376,35.952961,Airport,Cafe,car,43.32,27061.0,2268,Sunday,12,45-54,F,sunny
66,2025-08-25 11:53:07,31.995687,35.927517,Mall,Work,walk,5.79,1447.4,857,Monday,11,45-54,M,sunny
67,2025-07-07 06:28:09,31.95284,35.871835,Work,University,car,40.78,28943.0,2601,Monday,6,18-24,F,sunny
68,2025-06-19 13:03:43,31.985106,35.940972,Mall,University,walk,5.33,400.5,286,Thursday,13,<18,F,cloudy
69,2025-07-15 01:06:14,31.965849,35.987682,Station,Home,walk,5.13,1968.6,1354,Tuesday,1,18-24,M,cloudy
70,2025-07-10 18:02:45,31.935646,35.972786,Home,Market,scooter,16.96,4467.2,928,Thursday,18,18-24,F,sunny
71,2025-07-05 15:26:54,31.965842,35.973962,Airport,Work,walk,5.13,1332.7,991,Saturday,15,55+,F,sunny
72,2025-09-09 12:24:37,32.001141,35.982084,Station,University,walk,3.23,698.8,811,Tuesday,12,25-34,F,sunny
73,2025-09-03 12:40:46,31.953925,35.94766,Market,Market,car,36.93,10475.0,1078,Wednesday,12,25-34,M,cloudy
74,2025-07-14 23:25:47,32.001939,35.950919,Airport,Cafe,car,45.85,11774.7,967,Monday,23,45-54,M,sunny
75,2025-08-14 15:28:23,31.876408,35.92647,Market,Hospital,car,31.56,23096.9,2582,Thursday,15,25-34,F,cloudy
76,2025-07-22 06:17:25,31.979657,35.935518,Station,University,walk,4.73,794.1,555,Tuesday,6,25-34,M,sunny
77,2025-09-06 23:08:54,31.957611,35.963473,Airport,Cafe,walk,5.22,840.1,568,Saturday,23,45-54,F,sunny
78,2025-07-27 22:50:43,31.94603,35.981117,University,Cafe,walk,7.22,1085.2,552,Sunday,22,35-44,M,cloudy
79,2025-07-10 11:52:00,31.957753,35.940817,Work,Hospital,car,50.56,3696.4,253,Thursday,11,35-44,M,cloudy
80,2025-07-08 20:26:27,31.895373,35.931494,Work,University,bike,10.47,5158.4,1783,Tuesday,20,25-34,F,sunny
81,2025-08-06 04:16:50,31.94841,35.945016,Park,Cafe,taxi,61.43,13370.5,764,Wednesday,4,35-44,F,sunny
82,2025-07-10 07:14:50,31.965713,35.963036,Market,Cafe,car,54.4,3096.3,253,Thursday,7,18-24,F,windy
83,2025-08-08 06:25:52,31.999337,35.901684,Cafe,Home,walk,5.29,319.9,192,Friday,6,25-34,F,sunny
84,2025-09-05 11:01:22,31.939452,35.876115,University,Mall,car,48.63,15817.0,1176,Friday,11,55+,M,rain
85,2025-07-22 14:25:50,31.930745,35.928484,Hospital,Work,car,32.82,18598.9,2038,Tuesday,14,18-24,M,cloudy
86,2025-07-06 09:27:30,31.939947,35.908379,Airport,Mall,car,39.96,24441.5,2258,Sunday,9,35-44,F,cloudy
87,2025-09-14 10:24:24,31.982462,35.929756,Cafe,Park,bike,12.68,6967.2,2029,Sunday,10,25-34,M,sunny
88,2025-08-01 12:18:08,31.964863,35.940567,Market,Work,car,46.48,10933.7,787,Friday,12,<18,F,sunny
89,2025-06-24 20:05:23,31.939107,35.931403,Mall,Hospital,bus,50.22,11410.7,857,Tuesday,20,35-44,M,windy
90,2025-06-20 21:29:48,31.970398,35.988574,Station,Station,scooter,18.21,7828.1,1576,Friday,21,18-24,M,sunny
91,2025-06-26 12:34:03,31.957912,35.954802,Park,Mall,bike,14.66,5062.8,1262,Thursday,12,25-34,M,sunny
92,2025-08-12 03:00:32,31.984059,35.954014,Mall,Mall,car,40.3,15252.9,1377,Tuesday,3,18-24,M,cloudy
93,2025-08-26 22:37:01,31.933938,35.963666,University,Market,car,36.93,16691.1,1633,Tuesday,22,45-54,F,sunny
94,2025-07-24 15:35:27,31.94517,35.910835,Mall,Airport,scooter,22.93,3506.8,590,Thursday,15,18-24,F,cloudy
95,2025-06-22 08:56:43,31.943237,35.976173,Cafe,Park,scooter,25.71,5234.9,726,Sunday,8,18-24,F,cloudy
96,2025-07-21 00:01:23,31.911095,35.942727,Hospital,Station,walk,4.37,853.5,657,Monday,0,18-24,M,rain
97,2025-09-14 07:20:51,31.963884,35.965114,Market,Airport,walk,5.02,988.1,701,Sunday,7,45-54,M,cloudy
98,2025-08-03 06:36:45,31.962832,35.912844,Home,University,car,47.24,20500.6,1521,Sunday,6,35-44,M,sunny
99,2025-09-12 01:15:17,31.955153,35.898387,Park,Market,walk,3.97,1870.9,1654,Friday,1,35-44,M,sunny
100,2025-09-02 03:00:34,31.947962,35.969537,Mall,Cafe,car,28.33,20677.4,2639,Tuesday,3,25-34,M,cloudy
101,2025-06-17 16:31:28,31.912539,35.956292,Market,Cafe,walk,4.35,1133.2,952,Tuesday,16,25-34,M,sunny
102,2025-08-20 12:29:04,31.942381,35.917938,Work,Airport,car,47.79,29170.5,2211,Wednesday,12,18-24,M,hot
103,2025-08-17 00:13:11,31.944719,35.91891,Cafe,Airport,taxi,30.98,15815.7,1874,Sunday,0,25-34,M,cloudy
104,2025-08-03 23:34:53,31.930932,35.978763,Hospital,Cafe,taxi,35.18,12246.8,1313,Sunday,23,18-24,M,sunny
105,2025-07-10 16:04:04,31.950161,35.909318,Home,Station,car,40.26,23465.6,2050,Thursday,16,55+,M,rain
106,2025-08-13 08:12:10,31.967122,35.99428,Market,Cafe,car,41.88,25912.1,2285,Wednesday,8,35-44,M,sunny
107,2025-06-26 16:40:41,32.011586,35.917981,Market,Home,bus,29.12,7990.1,940,Thursday,16,25-34,M,sunny
108,2025-07-25 18:49:06,31.960237,35.964152,Home,Park,walk,5.06,234.9,179,Friday,18,18-24,F,cloudy
109,2025-07-27 11:46:07,31.962727,35.935141,Airport,Mall,car,25.96,2873.5,437,Sunday,11,35-44,M,rain
110,2025-09-10 11:58:04,31.952767,35.963096,Cafe,Cafe,car,34.16,16366.0,1676,Wednesday,11,18-24,F,sunny
111,2025-09-03 11:34:04,31.897437,35.928677,Park,Home,walk,6.03,115.3,108,Wednesday,11,18-24,M,sunny
112,2025-07-10 08:38:45,31.954205,35.940116,Cafe,Cafe,car,33.41,25433.3,2716,Thursday,8,18-24,F,sunny
113,2025-07-31 16:59:29,31.956807,35.946228,Airport,Station,walk,5.26,497.2,391,Thursday,16,25-34,M,sunny
114,2025-07-02 17:36:48,32.028897,35.914934,Station,University,car,41.17,29842.4,2617,Wednesday,17,35-44,F,sunny
115,2025-09-06 19:00:06,31.949229,35.967225,Cafe,Home,bike,17.24,3208.2,721,Saturday,19,25-34,M,sunny
116,2025-09-03 00:02:44,31.964046,35.929604,Home,Park,car,49.01,16827.5,1220,Wednesday,0,18-24,F,cloudy
117,2025-07-13 12:21:58,31.953959,35.938142,Hospital,Work,walk,6.43,1439.5,857,Sunday,12,25-34,M,windy
118,2025-08-13 03:51:23,31.91994,35.91517,Cafe,Home,bus,42.22,5130.5,429,Wednesday,3,35-44,M,sunny
119,2025-08-10 11:06:04,31.989285,35.86813,Mall,Hospital,car,31.09,8558.2,963,Sunday,11,18-24,F,sunny
120,2025-06-30 09:51:30,31.977558,35.939269,Hospital,Hospital,car,20.52,6006.2,1042,Monday,9,18-24,M,rain
121,2025-08-24 06:44:55,31.978731,36.017378,Park,Work,car,36.45,15309.8,1535,Sunday,6,45-54,F,cloudy
122,2025-08-04 04:47:03,31.927718,35.968538,Home,Airport,car,30.41,2826.3,336,Monday,4,55+,M,windy
123,2025-08-25 17:33:31,31.997084,35.944422,Station,Hospital,walk,4.08,1247.2,1113,Monday,17,55+,M,sunny
124,2025-08-03 09:17:22,31.912944,35.937113,Work,Airport,car,45.44,16362.0,1313,Sunday,9,35-44,F,sunny
125,2025-06-16 16:57:39,31.972606,35.945674,Hospital,Cafe,walk,6.35,394.7,223,Monday,16,18-24,M,sunny
126,2025-07-15 19:54:09,32.020714,35.961414,Airport,Cafe,walk,5.29,128.9,31,Tuesday,19,18-24,M,cloudy
127,2025-06-18 09:47:43,31.925284,35.909576,Hospital,Mall,car,33.8,4347.6,425,Wednesday,9,25-34,F,sunny
128,2025-09-08 06:34:42,31.938011,35.97843,Work,Hospital,walk,5.35,1514.9,994,Monday,6,25-34,F,sunny
129,2025-09-03 17:45:53,31.95799,35.966461,Cafe,Work,car,47.84,27604.8,2068,Wednesday,17,55+,F,sunny
130,2025-08-30 12:07:23,31.939896,35.966546,Mall,Mall,car,26.02,10177.8,1366,Saturday,12,35-44,M,sunny
131,2025-07-14 07:57:21,31.90848,35.958154,Airport,Park,car,37.12,4783.4,482,Monday,7,35-44,M,cloudy
132,2025-06-21 20:50:38,31.957057,35.945588,Work,Home,car,37.93,2804.5,283,Saturday,20,18-24,M,sunny
133,2025-09-03 16:13:34,31.923131,35.965186,Work,Hospital,car,38.62,10305.1,987,Wednesday,16,45-54,M,cloudy
134,2025-09-09 21:08:10,31.969208,35.962754,Mall,Market,car,31.64,21490.3,2473,Tuesday,21,35-44,F,sunny
135,2025-06-24 08:44:13,31.927417,35.934379,Park,Work,car,43.18,16388.5,1357,Tuesday,8,18-24,M,sunny
136,2025-07-30 09:27:53,32.001498,35.927792,Hospital,Work,bike,16.24,1268.3,225,Wednesday,9,45-54,M,sunny
137,2025-06-22 21:13:28,31.931502,35.948056,Cafe,Park,car,30.9,3483.9,395,Sunday,21,18-24,M,sunny
138,2025-08-24 02:37:34,31.945338,35.991471,Hospital,Hospital,car,53.91,25431.5,1751,Sunday,2,18-24,F,sunny
139,2025-08-24 13:55:40,31.979406,35.907827,Home,Station,car,28.61,26272.1,3357,Sunday,13,35-44,F,cloudy
140,2025-06-28 05:03:03,31.918074,35.900974,Airport,Hospital,taxi,33.46,27161.9,2904,Saturday,5,35-44,F,rain
141,2025-07-29 10:20:07,31.961824,35.949943,Station,Station,bus,20.21,24025.9,4307,Tuesday,10,18-24,M,sunny
142,2025-08-05 03:18:04,31.994214,35.946527,Home,Airport,walk,3.37,1493.5,1565,Tuesday,3,25-34,F,sunny
143,2025-07-10 12:14:52,31.906776,35.9502,Work,Work,walk,5.17,1910.4,1276,Thursday,12,55+,F,hot
144,2025-09-03 04:10:51,31.960539,35.952319,Station,Cafe,walk,4.21,598.0,546,Wednesday,4,35-44,M,sunny
145,2025-07-24 17:42:12,31.962796,35.938304,Market,University,walk,6.09,553.7,327,Thursday,17,35-44,M,sunny
146,2025-07-05 17:12:34,31.978455,35.989696,Hospital,Airport,walk,4.01,1501.5,1404,Saturday,17,18-24,M,sunny
147,2025-08-04 04:36:18,31.917891,35.896973,Work,Station,car,33.55,21760.2,2308,Monday,4,18-24,M,cloudy
148,2025-08-21 08:22:35,31.915386,35.920145,Mall,Work,bus,36.07,32860.0,3333,Thursday,8,18-24,F,sunny
149,2025-07-04 18:12:42,31.970658,35.941902,Cafe,Cafe,car,29.5,3667.0,434,Friday,18,18-24,M,sunny
150,2025-07-14 17:01:57,31.96391,35.895704,Market,Market,walk,4.46,1193.2,905,Monday,17,18-24,M,sunny
151,2025-09-14 05:14:53,31.962515,35.939724,University,Station,car,53.71,9106.3,593,Sunday,5,18-24,F,sunny
152,2025-08-14 03:27:43,31.965393,35.994844,Airport,Mall,car,15.98,5728.9,1334,Thursday,3,25-34,F,sunny
153,2025-07-26 02:01:18,31.934599,35.945627,Market,University,bus,7.25,21833.3,10882,Saturday,2,25-34,F,cloudy
154,2025-08-02 05:41:21,31.961968,35.951921,Home,Airport,bus,18.83,38206.6,7282,Saturday,5,35-44,M,cloudy
155,2025-06-27 13:05:40,31.963792,35.907195,Cafe,Station,scooter,27.87,1716.2,200,Friday,13,18-24,M,sunny
156,2025-07-06 21:04:18,31.933569,35.926509,Work,Cafe,car,55.45,29898.2,1916,Sunday,21,25-34,M,sunny
157,2025-07-17 01:59:25,32.010973,35.933744,Cafe,University,car,44.33,13014.7,1103,Thursday,1,<18,M,cloudy
158,2025-08-08 14:28:20,31.969215,35.935469,Work,Work,walk,5.38,1054.0,707,Friday,14,25-34,M,rain
159,2025-07-07 08:46:24,31.919261,35.983449,Mall,Park,car,26.05,20995.2,2950,Monday,8,18-24,M,sunny
160,2025-07-06 11:23:42,31.974697,35.961731,Cafe,Park,walk,5.12,1815.7,1305,Sunday,11,55+,M,sunny
161,2025-06-23 01:04:14,31.92576,35.911656,Park,Park,car,31.08,19092.0,2238,Monday,1,35-44,M,sunny
162,2025-08-12 10:54:28,31.978613,35.952395,Home,Home,car,49.37,21177.0,1496,Tuesday,10,25-34,M,sunny
163,2025-07-07 06:14:23,31.989758,35.959947,University,Park,bike,17.97,4624.9,977,Monday,6,18-24,F,sunny
164,2025-09-06 03:25:57,31.93038,35.979204,Mall,Work,walk,4.33,1751.1,1424,Saturday,3,25-34,F,cloudy
165,2025-09-02 00:32:16,31.983901,35.992416,Station,Park,walk,5.61,138.3,45,Tuesday,0,35-44,M,sunny
166,2025-06-23 00:46:38,31.967383,35.914547,University,Station,walk,5.44,562.7,350,Monday,0,18-24,M,rain
167,2025-07-08 01:48:55,31.979662,35.920674,Mall,Park,walk,4.85,1790.9,1364,Tuesday,1,25-34,M,cloudy
168,2025-08-15 20:43:03,32.011904,35.907273,Cafe,Market,walk,3.97,988.3,892,Friday,20,35-44,M,rain
169,2025-07-05 22:28:37,31.947638,35.937979,Station,Market,walk,4.47,745.2,639,Saturday,22,35-44,M,sunny
170,2025-06-28 13:31:08,31.932388,35.958991,University,Home,walk,6.07,1801.6,1113,Saturday,13,35-44,F,sunny
171,2025-09-08 20:26:10,31.928315,35.97462,Station,Park,taxi,53.89,7862.7,506,Monday,20,45-54,F,hot
172,2025-08-07 01:10:43,31.930526,35.942721,Market,Work,car,36.44,28515.2,2791,Thursday,1,45-54,F,cloudy
173,2025-07-29 04:41:41,31.952687,35.935405,Mall,Park,walk,6.81,270.1,175,Tuesday,4,25-34,F,rain
174,2025-08-26 06:30:12,31.965235,35.949553,Work,Market,car,44.34,15287.3,1234,Tuesday,6,25-34,F,sunny
175,2025-08-28 07:55:08,31.963301,35.919946,Station,Work,bus,29.29,18846.2,2333,Thursday,7,35-44,M,sunny
176,2025-07-03 19:00:39,31.979815,36.007686,University,Park,car,37.96,5995.7,590,Thursday,19,35-44,F,cloudy
177,2025-06-25 09:05:45,31.95539,35.89677,Hospital,Station,bike,12.59,3099.8,837,Wednesday,9,55+,M,sunny
178,2025-07-25 10:47:45,31.998606,35.950542,Park,Home,car,45.86,20235.1,1552,Friday,10,<18,F,sunny
179,2025-07-24 18:39:19,31.94706,36.005708,Hospital,Hospital,car,57.12,28875.0,1815,Thursday,18,25-34,M,sunny
180,2025-07-28 16:29:55,32.036605,35.945204,Market,Airport,car,38.71,4379.9,374,Monday,16,18-24,M,sunny
181,2025-08-21 06:31:45,31.97377,35.939299,University,Work,car,30.25,13019.8,1605,Thursday,6,18-24,F,sunny
182,2025-08-16 06:11:34,31.929285,35.934277,Home,Work,bus,36.06,3248.8,369,Saturday,6,18-24,M,sunny
183,2025-09-13 05:31:20,31.922873,35.939588,Airport,Hospital,bus,26.77,14995.5,2008,Saturday,5,35-44,M,sunny
184,2025-06-25 12:18:29,31.969474,35.986185,Market,Hospital,car,31.83,27088.0,3097,Wednesday,12,18-24,M,cloudy
185,2025-07-22 21:23:15,31.948296,35.878644,Work,Home,car,25.63,10502.0,1477,Tuesday,21,35-44,M,sunny
186,2025-07-17 04:37:09,31.97642,35.991003,Cafe,University,car,45.51,10275.2,849,Thursday,4,35-44,F,sunny
187,2025-09-02 04:56:17,31.969197,35.902281,Airport,Home,bus,39.54,22170.7,2024,Tuesday,4,18-24,F,rain
188,2025-07-09 00:49:23,31.952815,35.937,Station,Market,walk,3.56,832.3,892,Wednesday,0,18-24,M,sunny
189,2025-07-03 18:34:36,31.929596,35.932123,Mall,Market,taxi,36.96,23777.9,2303,Thursday,18,25-34,M,sunny
190,2025-07-27 00:43:50,31.909555,35.962657,University,Hospital,walk,4.74,313.7,283,Sunday,0,35-44,F,cloudy
191,2025-07-24 14:59:23,31.941605,35.897056,University,Station,car,32.47,3128.0,293,Thursday,14,45-54,M,windy
192,2025-07-11 17:22:59,31.980692,35.958865,Home,Mall,bus,41.81,32883.7,2836,Friday,17,45-54,M,sunny
193,2025-07-09 03:18:26,31.961423,36.005729,Cafe,Airport,walk,3.23,1799.9,2047,Wednesday,3,55+,M,sunny
194,2025-09-07 17:58:45,31.917628,35.904105,Mall,Home,car,44.45,2312.5,147,Sunday,17,25-34,F,cloudy
195,2025-07-26 12:53:16,31.960195,35.950691,Work,Mall,walk,5.77,1447.8,851,Saturday,12,45-54,M,sunny
196,2025-09-02 04:14:22,31.96656,35.925141,Market,Park,car,32.4,9388.9,1022,Tuesday,4,35-44,M,cloudy
197,2025-08-05 04:25:41,31.928484,35.957777,Park,University,walk,3.81,1080.5,1050,Tuesday,4,45-54,M,hot
198,2025-06-21 04:59:46,31.959612,35.945574,Park,Park,car,33.93,27396.6,2910,Saturday,4,<18,M,windy
199,2025-09-14 14:10:32,31.956746,35.925755,Hospital,Cafe,car,22.03,22578.3,3680,Sunday,14,55+,M,sunny
200,2025-08-30 21:32:42,31.920711,35.959636,Park,Work,taxi,57.47,29008.9,1774,Saturday,21,25-34,M,sunny
201,2025-09-11 20:45:26,31.965734,35.99913,Park,Hospital,taxi,34.7,27473.6,2889,Thursday,20,35-44,M,windy
202,2025-09-08 00:40:41,31.971824,35.939273,Station,Park,walk,4.52,1371.0,1139,Monday,0,18-24,M,sunny
203,2025-09-01 00:54:29,31.987492,35.966593,Hospital,Airport,car,59.61,22622.8,1373,Monday,0,25-34,M,sunny
204,2025-07-01 14:57:27,31.986614,35.906202,Cafe,Park,walk,3.01,1568.8,1928,Tuesday,14,18-24,F,cloudy
205,2025-07-30 08:42:37,31.91367,35.916307,Mall,Market,walk,4.84,657.5,501,Wednesday,8,18-24,F,sunny
206,2025-07-05 21:25:10,31.926865,35.959172,University,Mall,walk,5.94,1315.4,740,Saturday,21,18-24,M,sunny
207,2025-07-22 17:58:21,31.970451,35.989523,University,Home,taxi,57.5,13179.6,787,Tuesday,17,35-44,M,rain
208,2025-06-21 22:22:40,31.970414,35.955668,Work,Home,taxi,24.41,5436.9,765,Saturday,22,<18,M,sunny
209,2025-07-20 18:18:26,31.970451,35.935608,Mall,Home,walk,7.31,1618.6,849,Sunday,18,25-34,F,sunny
210,2025-09-13 07:59:33,32.070582,35.944979,Hospital,Hospital,walk,4.63,1037.3,852,Saturday,7,18-24,F,sunny
211,2025-07-10 12:33:50,31.972127,35.907488,Airport,Station,walk,4.64,1594.0,1201,Thursday,12,25-34,M,cloudy
212,2025-08-26 05:19:04,31.989067,35.963135,Cafe,Station,car,28.22,12972.9,1701,Tuesday,5,18-24,F,sunny
213,2025-07-27 14:32:37,31.98362,35.97147,Cafe,Station,car,40.71,7995.5,654,Sunday,14,18-24,F,sunny
214,2025-07-24 17:25:18,31.974542,35.931437,Market,Home,walk,7.32,1612.7,764,Thursday,17,25-34,F,cloudy
215,2025-09-10 19:31:53,31.945542,35.930899,Work,University,bus,30.41,9937.9,1120,Wednesday,19,35-44,M,rain
216,2025-09-14 05:50:18,31.977769,35.952976,Mall,Hospital,car,31.47,2944.9,334,Sunday,5,18-24,M,sunny
217,2025-08-05 16:11:06,31.931815,35.931898,University,Home,scooter,16.66,7215.6,1505,Tuesday,16,18-24,M,rain
218,2025-08-20 07:29:14,31.947895,35.943016,Station,Home,car,84.79,22597.8,1016,Wednesday,7,18-24,F,sunny
219,2025-06-30 14:05:12,31.940439,36.007992,Cafe,Home,car,33.77,19319.0,2045,Monday,14,55+,F,cloudy
